schema-version, 2
type, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, bundleName, size, minSize, gzipSize, brSize
module, test-support.js, addon-test-support/@ember/test-helpers/dom/fill-in.js, 2079, 921, 239, 208, 0.0052, 473, 399
module, test-support.js, addon-test-support/@ember/test-helpers/dom/find-all.js, 920, 430, 112, 97, 0.0024, 275, 229
module, test-support.js, addon-test-support/@ember/test-helpers/dom/find.js, 786, 366, 95, 83, 0.0021, 257, 212
module, test-support.js, addon-test-support/@ember/test-helpers/dom/fire-event.js, 7470, 2917, 757, 658, 0.0165, 1233, 1070
module, test-support.js, addon-test-support/@ember/test-helpers/dom/focus.js, 2433, 793, 206, 179, 0.0045, 418, 360
module, test-support.js, addon-test-support/@ember/test-helpers/dom/get-root-element.js, 1616, 749, 194, 169, 0.0042, 449, 358
module, test-support.js, addon-test-support/@ember/test-helpers/dom/tap.js, 2209, 691, 179, 156, 0.0039, 377, 319
module, test-support.js, addon-test-support/@ember/test-helpers/dom/trigger-event.js, 2625, 650, 169, 147, 0.0037, 360, 301
module, test-support.js, addon-test-support/@ember/test-helpers/dom/trigger-key-event.js, 6716, 2266, 588, 511, 0.0128, 1140, 980
module, test-support.js, addon-test-support/@ember/test-helpers/dom/type-in.js, 3825, 1504, 390, 339, 0.0085, 671, 581
module, test-support.js, addon-test-support/@ember/test-helpers/dom/wait-for.js, 1979, 710, 184, 160, 0.004, 392, 335
module, test-support.js, addon-test-support/@ember/test-helpers/global.js, 538, 293, 76, 66, 0.0017, 213, 162
module, test-support.js, addon-test-support/@ember/test-helpers/has-ember-version.js, 870, 271, 70, 61, 0.0015, 224, 175
module, test-support.js, addon-test-support/@ember/test-helpers/index.js, 7984, 5134, 1332, 1159, 0.029, 815, 706
module, test-support.js, addon-test-support/@ember/test-helpers/resolver.js, 878, 200, 52, 45, 0.0011, 166, 136
module, test-support.js, addon-test-support/@ember/test-helpers/settled.js, 8331, 2043, 530, 461, 0.0116, 819, 716
module, test-support.js, addon-test-support/@ember/test-helpers/setup-application-context.js, 6520, 2324, 603, 525, 0.0131, 920, 793
module, test-support.js, addon-test-support/@ember/test-helpers/setup-context.js, 7798, 2460, 638, 555, 0.0139, 931, 794
module, test-support.js, addon-test-support/@ember/test-helpers/setup-onerror.js, 1436, 274, 71, 62, 0.0015, 206, 169
module, test-support.js, addon-test-support/@ember/test-helpers/setup-rendering-context.js, 9789, 3268, 848, 738, 0.0185, 1328, 1155
module, test-support.js, addon-test-support/@ember/test-helpers/teardown-application-context.js, 986, 357, 93, 81, 0.002, 246, 200
module, test-support.js, addon-test-support/@ember/test-helpers/teardown-context.js, 1728, 645, 167, 146, 0.0036, 369, 311
module, test-support.js, addon-test-support/@ember/test-helpers/teardown-rendering-context.js, 1453, 508, 132, 115, 0.0029, 317, 277
module, test-support.js, addon-test-support/@ember/test-helpers/test-metadata.js, 1143, 515, 134, 116, 0.0029, 310, 253
module, test-support.js, addon-test-support/@ember/test-helpers/validate-error-handler.js, 1860, 496, 129, 112, 0.0028, 314, 252
module, test-support.js, addon-test-support/@ember/test-helpers/wait-until.js, 2086, 514, 133, 116, 0.0029, 351, 303
module, test-support.js, addon-test-support/ember-cli-test-loader/test-support/index.js, 2406, 1113, 289, 251, 0.0063, 578, 486
module, test-support.js, addon-test-support/ember-qunit/adapter.js, 2571, 1083, 281, 244, 0.0061, 599, 503
module, test-support.js, addon-test-support/ember-qunit/index.js, 9587, 3923, 1018, 885, 0.0222, 1285, 1101
module, test-support.js, addon-test-support/ember-qunit/legacy-2-x/module-for-component.js, 815, 544, 141, 123, 0.0031, 349, 316
module, test-support.js, addon-test-support/ember-qunit/legacy-2-x/module-for-model.js, 788, 525, 136, 119, 0.003, 342, 311
module, test-support.js, addon-test-support/ember-qunit/legacy-2-x/module-for.js, 753, 500, 130, 113, 0.0028, 324, 289
module, test-support.js, addon-test-support/ember-qunit/legacy-2-x/qunit-module.js, 1966, 784, 203, 177, 0.0044, 435, 378
module, test-support.js, addon-test-support/ember-qunit/test-isolation-validation.js, 3925, 1062, 275, 240, 0.006, 623, 500
module, test-support.js, addon-test-support/ember-qunit/test-loader.js, 1759, 738, 191, 167, 0.0042, 434, 372
module, test-support.js, addon-test-support/ember-test-helpers/has-ember-version.js, 376, 262, 68, 59, 0.0015, 182, 151
module, test-support.js, addon-test-support/ember-test-helpers/index.js, 1622, 1045, 271, 236, 0.0059, 355, 297
