schema-version, 3
type, dataset, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, dataset, bundleName, size, minSize, gzipSize, brSize
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/ext/application.js, 6396, 1782, 449, 400, 0.0806, 696, 594
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/ext/rsvp.js, 894, 517, 130, 116, 0.0234, 315, 255
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers.js, 1743, 1280, 322, 287, 0.0579, 343, 307
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/-is-form-control.js, 657, 279, 70, 63, 0.0126, 243, 182
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/and_then.js, 291, 191, 48, 43, 0.0086, 171, 130
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/click.js, 1052, 360, 91, 81, 0.0163, 239, 197
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/current_path.js, 777, 271, 68, 61, 0.0123, 221, 181
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/current_route_name.js, 836, 282, 71, 63, 0.0127, 228, 175
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/current_url.js, 749, 271, 68, 61, 0.0123, 225, 181
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/fill_in.js, 1295, 449, 113, 101, 0.0203, 299, 233
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/find.js, 1411, 295, 74, 66, 0.0133, 227, 175
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/find_with_assert.js, 1245, 268, 67, 60, 0.0121, 222, 199
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/key_event.js, 1208, 278, 70, 62, 0.0126, 230, 185
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/pause_test.js, 1661, 388, 98, 87, 0.0175, 278, 229
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/trigger_event.js, 2115, 435, 110, 98, 0.0197, 297, 244
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/visit.js, 1206, 460, 116, 103, 0.0208, 329, 264
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/helpers/wait.js, 2555, 611, 154, 137, 0.0276, 385, 322
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/initializers.js, 506, 279, 70, 63, 0.0126, 190, 163
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/setup_for_testing.js, 1579, 796, 200, 179, 0.036, 362, 302
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/support.js, 1976, 611, 154, 137, 0.0276, 382, 286
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/test.js, 2063, 736, 185, 165, 0.0333, 319, 286
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/test/adapter.js, 979, 467, 118, 105, 0.0211, 293, 237
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/test/helpers.js, 3334, 408, 103, 92, 0.0184, 243, 186
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/test/on_inject_helpers.js, 1185, 302, 76, 68, 0.0137, 222, 178
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/test/pending_requests.js, 877, 423, 106, 95, 0.0191, 262, 203
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/test/promise.js, 3263, 955, 240, 214, 0.0432, 537, 459
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/test/run.js, 364, 217, 55, 49, 0.0098, 191, 144
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember-testing.js, ember-testing/lib/test/waiters.js, 3215, 607, 153, 136, 0.0274, 339, 279
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, license.js, 389, 390, 101, 85, 0.0008, 252, 193
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, loader.js, 2424, 1058, 273, 230, 0.0022, 540, 458
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/browser-environment/index.js, 1485, 957, 247, 208, 0.002, 451, 355
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/console/index.js, 5967, 700, 181, 152, 0.0014, 304, 273
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/container/index.js, 40165, 8435, 2176, 1831, 0.0172, 2440, 2176
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/environment/index.js, 9278, 2035, 525, 442, 0.0041, 943, 809
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/error-handling/index.js, 908, 361, 93, 78, 0.0007, 231, 190
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/extension-support/index.js, 658, 452, 117, 98, 0.0009, 226, 184
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/extension-support/lib/container_debug_adapter.js, 3016, 635, 164, 138, 0.0013, 413, 328
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/extension-support/lib/data_adapter.js, 14727, 3247, 838, 705, 0.0066, 1197, 1048
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/glimmer/index.js, 325056, 78456, 20237, 17031, 0.1599, 21022, 18507
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/meta/index.js, 1155, 754, 194, 164, 0.0015, 241, 196
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/meta/lib/meta.js, 28324, 6904, 1781, 1499, 0.0141, 2095, 1898
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/metal/index.js, 162162, 33635, 8676, 7301, 0.0685, 10722, 9776
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/owner/index.js, 2261, 279, 72, 61, 0.0006, 212, 174
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/index.js, 3348, 2274, 587, 494, 0.0046, 430, 366
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/ext/controller.js, 8414, 927, 239, 201, 0.0019, 447, 377
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/location/api.js, 3469, 322, 83, 70, 0.0007, 235, 183
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/location/auto_location.js, 10352, 2285, 589, 496, 0.0047, 1055, 937
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/location/hash_location.js, 4975, 1385, 357, 301, 0.0028, 584, 493
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/location/history_location.js, 8292, 2615, 675, 568, 0.0053, 981, 837
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/location/none_location.js, 3804, 882, 228, 191, 0.0018, 471, 397
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/location/util.js, 3391, 856, 221, 186, 0.0017, 479, 406
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/services/router.js, 17446, 2190, 565, 475, 0.0045, 872, 750
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/services/routing.js, 3954, 1332, 344, 289, 0.0027, 651, 560
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/system/cache.js, 1273, 501, 129, 109, 0.001, 296, 250
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/system/controller_for.js, 504, 213, 55, 46, 0.0004, 184, 147
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/system/dsl.js, 7567, 2728, 704, 592, 0.0056, 1126, 1010
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/system/engines.js, 92, 73, 19, 16, 0.0001, 92, 69
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/system/generate_controller.js, 1572, 505, 130, 110, 0.001, 309, 246
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/system/query_params.js, 422, 246, 63, 53, 0.0005, 201, 171
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/system/route-info.js, 5964, 76, 20, 16, 0.0002, 92, 76
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/system/route.js, 83633, 12205, 3148, 2649, 0.0249, 4226, 3874
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/system/router.js, 57823, 15644, 4035, 3396, 0.0319, 5302, 4772
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/system/router_state.js, 1239, 616, 159, 134, 0.0013, 362, 301
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/routing/lib/system/transition.js, 5323, 76, 20, 16, 0.0002, 93, 70
