schema-version, 3
type, dataset, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, dataset, bundleName, size, minSize, gzipSize, brSize
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/helpers/trigger_event.js, 2115, 435, 110, 98, 0.0197, 297, 244
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/helpers/visit.js, 1206, 460, 116, 103, 0.0208, 329, 264
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/helpers/wait.js, 2555, 611, 154, 137, 0.0276, 385, 322
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/initializers.js, 506, 279, 70, 63, 0.0126, 190, 163
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/setup_for_testing.js, 1579, 796, 200, 179, 0.036, 362, 302
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/support.js, 1976, 611, 154, 137, 0.0276, 382, 286
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/test.js, 2063, 736, 185, 165, 0.0333, 319, 286
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/test/adapter.js, 979, 467, 118, 105, 0.0211, 293, 237
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/test/helpers.js, 3334, 408, 103, 92, 0.0184, 243, 186
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/test/on_inject_helpers.js, 1185, 302, 76, 68, 0.0137, 222, 178
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/test/pending_requests.js, 877, 423, 106, 95, 0.0191, 262, 203
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/test/promise.js, 3263, 955, 240, 214, 0.0432, 537, 459
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/test/run.js, 364, 217, 55, 49, 0.0098, 191, 144
module, experiment: drop ie11, ember-testing.js, ember-testing/lib/test/waiters.js, 3215, 607, 153, 136, 0.0274, 339, 279
module, experiment: drop ie11, ember.js, license.js, 389, 390, 101, 85, 0.0008, 252, 193
module, experiment: drop ie11, ember.js, loader.js, 2424, 1058, 273, 230, 0.0022, 540, 458
module, experiment: drop ie11, ember.js, @ember/-internals/browser-environment/index.js, 1485, 957, 247, 208, 0.002, 451, 355
module, experiment: drop ie11, ember.js, @ember/-internals/console/index.js, 5967, 700, 181, 152, 0.0014, 304, 273
module, experiment: drop ie11, ember.js, @ember/-internals/container/index.js, 40165, 8435, 2176, 1831, 0.0172, 2440, 2176
module, experiment: drop ie11, ember.js, @ember/-internals/environment/index.js, 9278, 2035, 525, 442, 0.0041, 943, 809
module, experiment: drop ie11, ember.js, @ember/-internals/error-handling/index.js, 908, 361, 93, 78, 0.0007, 231, 190
module, experiment: drop ie11, ember.js, @ember/-internals/extension-support/index.js, 658, 452, 117, 98, 0.0009, 226, 184
module, experiment: drop ie11, ember.js, @ember/-internals/extension-support/lib/container_debug_adapter.js, 3016, 635, 164, 138, 0.0013, 413, 328
module, experiment: drop ie11, ember.js, @ember/-internals/extension-support/lib/data_adapter.js, 14727, 3247, 838, 705, 0.0066, 1197, 1048
module, experiment: drop ie11, ember.js, @ember/-internals/glimmer/index.js, 325056, 78456, 20237, 17031, 0.1599, 21022, 18507
module, experiment: drop ie11, ember.js, @ember/-internals/meta/index.js, 1155, 754, 194, 164, 0.0015, 241, 196
module, experiment: drop ie11, ember.js, @ember/-internals/meta/lib/meta.js, 28324, 6904, 1781, 1499, 0.0141, 2095, 1898
module, experiment: drop ie11, ember.js, @ember/-internals/metal/index.js, 162162, 33635, 8676, 7301, 0.0685, 10722, 9776
module, experiment: drop ie11, ember.js, @ember/-internals/owner/index.js, 2261, 279, 72, 61, 0.0006, 212, 174
module, experiment: drop ie11, ember.js, @ember/-internals/routing/index.js, 3348, 2274, 587, 494, 0.0046, 430, 366
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/ext/controller.js, 8414, 927, 239, 201, 0.0019, 447, 377
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/location/api.js, 3469, 322, 83, 70, 0.0007, 235, 183
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/location/auto_location.js, 10352, 2285, 589, 496, 0.0047, 1055, 937
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/location/hash_location.js, 4975, 1385, 357, 301, 0.0028, 584, 493
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/location/history_location.js, 8292, 2615, 675, 568, 0.0053, 981, 837
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/location/none_location.js, 3804, 882, 228, 191, 0.0018, 471, 397
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/location/util.js, 3391, 856, 221, 186, 0.0017, 479, 406
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/services/router.js, 17446, 2190, 565, 475, 0.0045, 872, 750
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/services/routing.js, 3954, 1332, 344, 289, 0.0027, 651, 560
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/system/cache.js, 1273, 501, 129, 109, 0.001, 296, 250
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/system/controller_for.js, 504, 213, 55, 46, 0.0004, 184, 147
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/system/dsl.js, 7567, 2728, 704, 592, 0.0056, 1126, 1010
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/system/engines.js, 92, 73, 19, 16, 0.0001, 92, 69
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/system/generate_controller.js, 1572, 505, 130, 110, 0.001, 309, 246
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/system/query_params.js, 422, 246, 63, 53, 0.0005, 201, 171
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/system/route-info.js, 5964, 76, 20, 16, 0.0002, 92, 76
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/system/route.js, 83633, 12205, 3148, 2649, 0.0249, 4226, 3874
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/system/router.js, 57823, 15644, 4035, 3396, 0.0319, 5302, 4772
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/system/router_state.js, 1239, 616, 159, 134, 0.0013, 362, 301
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/system/transition.js, 5323, 76, 20, 16, 0.0002, 93, 70
module, experiment: drop ie11, ember.js, @ember/-internals/routing/lib/utils.js, 6826, 2061, 532, 447, 0.0042, 1083, 949
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/index.js, 6409, 4254, 1097, 923, 0.0087, 683, 590
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/compare.js, 4023, 1041, 269, 226, 0.0021, 532, 470
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/copy.js, 3492, 887, 229, 193, 0.0018, 478, 417
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/ext/function.js, 6221, 760, 196, 165, 0.0015, 333, 261
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/ext/rsvp.js, 1716, 841, 217, 183, 0.0017, 466, 395
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/is-equal.js, 1875, 304, 78, 66, 0.0006, 222, 180
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/mixins/-proxy.js, 3465, 1322, 341, 287, 0.0027, 673, 582
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/mixins/action_handler.js, 6457, 526, 136, 114, 0.0011, 345, 295
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/mixins/array.js, 29708, 6992, 1804, 1518, 0.0142, 2183, 1970
module, experiment: drop ie11, ember.js, @ember/-internals/runtime/lib/mixins/comparable.js, 1174, 241, 62, 52, 0.0005, 191, 157
